id,category,description,location,date,color,finder
F001,ID Card,found university student ID near library entrance blue card with photo,Library,2024-01-15,blue,security_office
F002,Charger,found white macbook USB-C charger left on cafeteria table,Cafeteria,2024-01-16,white,cafeteria_staff
F003,Headphones,found black over-ear headphones sony brand near library reading area,Library,2024-01-17,black,librarian
F004,Notebook,spiral notebook green cover full of science equations and diagrams,Lecture Hall 1,2024-01-18,green,professor_ali
F005,Keys,found car keys with red keyring multiple keys in parking area,Parking Lot,2024-01-19,red,parking_guard
F006,Bottle,metal thermos bottle blue color with logo found near gym,Sports Hall,2024-01-20,blue,gym_staff
F007,ID Card,engineering faculty student card yellow band found corridor B,Building B,2024-01-21,yellow,janitor
F008,Charger,black samsung phone charger type-c cable found in lab,Lab 3,2024-01-22,black,lab_assistant
F009,Headphones,apple airpods white earbuds charging case left in cafeteria,Cafeteria,2024-01-23,white,student_volunteer
F010,Notebook,red hardback notebook math problems found in hallway building A,Building A,2024-01-24,red,security_office
F011,Keys,bunch of keys with blue tag found near campus main entrance gate,Main Gate,2024-01-25,blue,gate_security
F012,Bottle,transparent plastic sports water bottle found field sports area,Sports Hall,2024-01-26,clear,coach_staff
F013,ID Card,white CS department ID card second year found in computer lab,Lab 3,2024-01-27,white,lab_assistant
F014,Charger,heavy black dell laptop power adapter found under lecture hall seat,Lecture Hall 2,2024-01-28,black,cleaning_staff
F015,Headphones,large red gaming headset microphone arm found in computer lab,Lab 3,2024-01-29,red,lab_assistant
F016,Bottle,green reusable bottle with stickers on it cafeteria table,Cafeteria,2024-01-30,green,cafeteria_staff
F017,Charger,white iphone lightning cable charger small brick found library,Library,2024-01-30,white,librarian
F018,Keys,single key with university logo keychain found building A,Building A,2024-01-30,silver,security_office
F019,Notebook,blue notebook with arabic writing found in lecture hall,Lecture Hall 2,2024-01-30,blue,professor_samir
F020,ID Card,faculty ID card medicine department found cafeteria,Cafeteria,2024-01-30,green,student_volunteer
